shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
7, 3,0.70,17,3,0.85
5, 5,0.50,15,5,0.75
6, 4,0.60,16,4,0.80
4, 6,0.40,14,6,0.70
8, 2,0.80,18,2,0.90
7, 3,0.70,17,3,0.85
2, 8,0.20,12,8,0.60
7, 3,0.70,17,3,0.85
6, 4,0.60,16,4,0.80
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
6, 4,0.60,16,4,0.80
6, 4,0.60,16,4,0.80
7, 3,0.70,17,3,0.85
4, 6,0.40,14,6,0.70
7, 3,0.70,17,3,0.85
9, 1,0.90,19,1,0.95
9, 1,0.90,19,1,0.95
6, 4,0.60,15,5,0.75
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
6, 4,0.60,15,5,0.75
7, 3,0.70,17,3,0.85
8, 2,0.80,17,3,0.85
5, 5,0.50,15,5,0.75
7, 3,0.70,17,3,0.85
8, 2,0.80,18,2,0.90
6, 4,0.60,15,5,0.75
10, 0,1.00,20,0,1.00
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
6, 4,0.60,16,4,0.80
6, 4,0.60,16,4,0.80
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
7, 3,0.70,16,4,0.80
5, 5,0.50,14,6,0.70
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
5, 5,0.50,15,5,0.75
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
9, 1,0.90,19,1,0.95
7, 3,0.70,17,3,0.85
8, 2,0.80,17,3,0.85
7, 3,0.70,17,3,0.85
6, 4,0.60,16,4,0.80
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
3, 7,0.30,13,7,0.65
8, 2,0.80,18,2,0.90
6, 4,0.60,16,4,0.80
7, 3,0.70,16,4,0.80
6, 4,0.60,16,4,0.80
5, 5,0.50,15,5,0.75
4, 6,0.40,13,7,0.65
4, 6,0.40,14,6,0.70
3, 7,0.30,12,8,0.60
5, 5,0.50,15,5,0.75
9, 1,0.90,19,1,0.95
8, 2,0.80,18,2,0.90
5, 5,0.50,15,5,0.75
3, 7,0.30,12,8,0.60
6, 4,0.60,16,4,0.80
8, 2,0.80,18,2,0.90
6, 4,0.60,16,4,0.80
7, 3,0.70,17,3,0.85
2, 8,0.20,11,9,0.55
7, 3,0.70,17,3,0.85
7, 3,0.70,17,3,0.85
5, 5,0.50,15,5,0.75
9, 1,0.90,19,1,0.95
6, 4,0.60,16,4,0.80
9, 1,0.90,19,1,0.95
6, 4,0.60,16,4,0.80
7, 3,0.70,17,3,0.85
10, 0,1.00,20,0,1.00
5, 5,0.50,15,5,0.75
9, 1,0.90,19,1,0.95
8, 2,0.80,18,2,0.90
4, 6,0.40,14,6,0.70
7, 3,0.70,17,3,0.85
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
8, 2,0.80,18,2,0.90
5, 5,0.50,15,5,0.75
6, 4,0.60,16,4,0.80
7, 3,0.70,17,3,0.85
5, 5,0.50,15,5,0.75
